FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
838,102,2279,0.0110,,,
839,103,2114,0.0300,30.0000,,
840,103,1882,0.0020,,,
841,103,1886,0.0020,2.0000,,
842,103,1893,0.0140,14.0000,,
843,103,1898,0.0450,,,
844,103,1916,0.0040,4.0000,,
845,103,1917,0.0030,3.0000,,
846,103,1972,0.0100,10.0000,,
847,103,1976,0.4500,,,
848,103,2055,0.0150,,,
849,103,2061,0.2250,,,
850,103,2064,0.2000,,,
851,103,2245,0.1500,,,
852,103,2206,0.1250,125.0000,,
853,105,1886,0.0020,2.0000,,
854,105,1893,0.0040,4.0000,,
855,105,1916,0.0020,2.0000,,
856,105,2204,0.0180,,,
857,105,1953,0.7500,,,
