LoanID,Title,Title_En,IsActive,Version,Creator,CreationDate,LastModifier,LastModificationDate
1,وام ضروري,وام ضروري,True,1,1,2018-03-05 14:24:05,1,2018-03-05 14:24:05
2,وام پزشكي,وام پزشكي,True,1,1,2018-03-05 14:24:11,1,2018-03-05 14:24:11
