CurrencyExchangeRateId,CurrencyRef,EffectiveDate,ExchangeRate,Version,Creator,CreationDate,LastModifier,LastModificationDate,FiscalYearRef
1,3,2019-03-21 00:00:00,125000.0000000000000000,1,1,2019-09-23 03:32:34,1,2019-09-23 03:32:34,1
2,3,2019-03-21 00:00:00,40000.0000000000000000,1,1,2019-09-23 03:32:41,1,2019-09-23 03:32:41,1
