UserAccessID,UserRef,LogicalResource,HasAccess
97,2,Inventory.InventoryOperations.InventoryReceiptReturn.New,True
98,2,Inventory.InventoryOperations.InventoryReceiptReturn.Edit,True
99,2,Inventory.InventoryOperations.InventoryReceiptReturn.View,True
100,2,Inventory.InventoryOperations.InventoryReceiptReturn.Delete,True
101,2,Inventory.InventoryOperations.InventoryReceiptReturn.IssueAccVoucher,True
102,2,Inventory.InventoryOperations.InventoryReceiptReturn.ShowAccVoucher,True
103,2,Inventory.InventoryOperations.InventoryReceiptReturn.ShowReadOnlyAccVoucher,True
104,2,Inventory.InventoryOperations.InventoryReceiptReturn.DeleteAccVoucher,True
105,2,Inventory.InventoryOperations.InventoryReceiptReturn.List,True
106,2,Inventory.InventoryOperations.InventoryDelivery.New,True
107,2,Inventory.InventoryOperations.InventoryDelivery.Edit,True
108,2,Inventory.InventoryOperations.InventoryDelivery.View,True
109,2,Inventory.InventoryOperations.InventoryDelivery.Delete,True
110,2,Inventory.InventoryOperations.InventoryDelivery.IssueAccVoucher,True
111,2,Inventory.InventoryOperations.InventoryDelivery.ShowAccVoucher,True
112,2,Inventory.InventoryOperations.InventoryDelivery.ShowReadOnlyAccVoucher,True
113,2,Inventory.InventoryOperations.InventoryDelivery.DeleteAccVoucher,True
114,2,Inventory.InventoryOperations.InventoryDelivery.IssueInvoice,True
115,2,Inventory.InventoryOperations.InventoryDelivery.List,True
116,2,Inventory.InventoryOperations.InventoryReceipt.New,True
117,2,Inventory.InventoryOperations.InventoryReceipt.Edit,True
118,2,Inventory.InventoryOperations.InventoryReceipt.View,True
119,2,Inventory.InventoryOperations.InventoryReceipt.Delete,True
120,2,Inventory.InventoryOperations.InventoryReceipt.IssueAccVoucher,True
121,2,Inventory.InventoryOperations.InventoryReceipt.DeleteAccVoucher,True
122,2,Inventory.InventoryOperations.InventoryReceipt.ShowAccVoucher,True
123,2,Inventory.InventoryOperations.InventoryReceipt.ShowReadOnlyAccVoucher,True
124,2,Inventory.InventoryOperations.InventoryReceipt.IssuePayment,True
125,2,Inventory.InventoryOperations.InventoryReceipt.DeletePayment,True
126,2,Inventory.InventoryOperations.InventoryReceipt.List,True
127,2,General.FormulaManagement.CalculationElement.New,True
128,2,General.FormulaManagement.CalculationElement.Edit,True
129,2,General.FormulaManagement.CalculationElement.Delete,True
130,2,General.FormulaManagement.CalculationElement.List,True
131,2,Inventory.InventoryOperations.ClosingOperation.ClosingStocks,True
132,2,Inventory.InventoryOperations.ClosingOperation.OpeningStocks,True
133,2,Inventory.InventoryOperations.ClosingOperation.ClosingVendors,True
134,2,Inventory.InventoryOperations.ClosingOperation.OpeningVendors,True
135,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.New,True
136,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.Edit,True
137,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.View,True
138,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.Delete,True
139,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.IssuePayment,True
140,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.DeletePayment,True
141,2,Inventory.InventoryOperations.InventoryPurchaseInvoice.List,True
142,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.New,True
143,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.Edit,True
144,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.View,True
145,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.Delete,True
146,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.IssuePayment,True
147,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.DeletePayment,True
148,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.IssueAccVoucher,True
149,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.ShowAccVoucher,True
150,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.ShowReadOnlyAccVoucher,True
151,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.DeleteAccVoucher,True
152,2,Inventory.InventoryCommon.ServiceInventoryPurchaseInvoice.List,True
153,2,General.FormulaManagement.CalculationFormula.New,True
154,2,General.FormulaManagement.CalculationFormula.Edit,True
155,2,General.FormulaManagement.CalculationFormula.Delete,True
156,2,General.FormulaManagement.CalculationFormula.List,True
157,2,Inventory.InventoryOperations.Pricing.Pricing,True
158,2,Inventory.InventoryOperations.Pricing.Undo,True
159,2,Inventory.InventoryOperations.Pricing.List,True
160,2,Inventory.InventoryOperations.ProductionPricing,True
161,2,Inventory.InventoryOperations.ItemCardex,True
162,2,Inventory.ItemManagement.Item.New,True
163,2,Inventory.ItemManagement.Item.Edit,True
164,2,Inventory.ItemManagement.Item.Delete,True
165,2,Inventory.ItemManagement.Item.List,True
166,2,Inventory.InventoryOperations.Review.QuantityReview,True
167,2,Inventory.InventoryOperations.Review.PriceReview,True
168,2,Inventory.UnitManagement.Unit.New,True
169,2,Inventory.UnitManagement.Unit.Edit,True
170,2,Inventory.UnitManagement.Unit.Delete,True
171,2,Inventory.UnitManagement.Unit.List,True
172,2,ReceiptAndPayment.PaymentManagement.RefundCheque.New,True
173,2,ReceiptAndPayment.PaymentManagement.RefundCheque.Edit,True
174,2,ReceiptAndPayment.PaymentManagement.RefundCheque.Delete,True
175,2,ReceiptAndPayment.PaymentManagement.RefundCheque.IssueAccVoucher,True
176,2,ReceiptAndPayment.PaymentManagement.RefundCheque.ShowAccVoucher,True
177,2,ReceiptAndPayment.PaymentManagement.RefundCheque.ShowReadOnlyAccVoucher,True
178,2,ReceiptAndPayment.PaymentManagement.RefundCheque.DeleteAccVoucher,True
179,2,ReceiptAndPayment.PaymentManagement.RefundCheque.ChequeSearch,True
180,2,ReceiptAndPayment.PaymentManagement.RefundCheque.List,True
181,2,ReceiptAndPayment.PaymentManagement.Payment.New,True
182,2,ReceiptAndPayment.PaymentManagement.Payment.Edit,True
183,2,ReceiptAndPayment.PaymentManagement.Payment.View,True
184,2,ReceiptAndPayment.PaymentManagement.Payment.Delete,True
185,2,ReceiptAndPayment.PaymentManagement.Payment.IssueAccVoucher,True
186,2,ReceiptAndPayment.PaymentManagement.Payment.ShowAccVoucher,True
187,2,ReceiptAndPayment.PaymentManagement.Payment.ShowReadOnlyAccVoucher,True
188,2,ReceiptAndPayment.PaymentManagement.Payment.DeleteAccVoucher,True
189,2,ReceiptAndPayment.PaymentManagement.Payment.ChequeSearch,True
190,2,ReceiptAndPayment.PaymentManagement.Payment.List,True
191,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.New,True
192,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.Delete,True
193,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.View,True
194,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.List,True
195,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.SettlementPartySettlement,True
196,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.ShowReceipt,True
197,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.IssueAccVoucher,True
198,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.DeleteAccVoucher,True
199,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.ShowAccVoucher,True
200,2,ReceiptAndPayment.PartySettlementManagement.PartySettlement.ShowReadOnlyAccVoucher,True
201,2,ReceiptAndPayment.ReceiptManagement.PosSettlement.New,True
202,2,ReceiptAndPayment.ReceiptManagement.PosSettlement.Edit,True
203,2,ReceiptAndPayment.ReceiptManagement.PosSettlement.Delete,True
204,2,ReceiptAndPayment.ReceiptManagement.PosSettlement.Receipt,True
205,2,ReceiptAndPayment.ReceiptManagement.PosSettlement.DeleteReceipt,True
206,2,ReceiptAndPayment.ReceiptManagement.PosSettlement.List,True
207,2,ReceiptAndPayment.ReceiptManagement.GeneralSearchCheque,True
208,2,ReceiptAndPayment.BasicData.BankAccount.New,True
209,2,ReceiptAndPayment.BasicData.BankAccount.Edit,True
210,2,ReceiptAndPayment.BasicData.BankAccount.Delete,True
211,2,ReceiptAndPayment.BasicData.BankAccount.List,True
212,2,ReceiptAndPayment.BasicData.Pos.New,True
213,2,ReceiptAndPayment.BasicData.Pos.Edit,True
214,2,ReceiptAndPayment.BasicData.Pos.Delete,True
215,2,ReceiptAndPayment.BasicData.Pos.List,True
216,2,ReceiptAndPayment.BasicData.ChequeBook.New,True
217,2,ReceiptAndPayment.BasicData.ChequeBook.Edit,True
218,2,ReceiptAndPayment.BasicData.ChequeBook.Delete,True
219,2,ReceiptAndPayment.BasicData.ChequeBook.List,True
220,2,ReceiptAndPayment.ReceiptManagement.Receipt.New,True
221,2,ReceiptAndPayment.ReceiptManagement.Receipt.Edit,True
222,2,ReceiptAndPayment.ReceiptManagement.Receipt.View,True
223,2,ReceiptAndPayment.ReceiptManagement.Receipt.Delete,True
224,2,ReceiptAndPayment.ReceiptManagement.Receipt.IssueAccVoucher,True
225,2,ReceiptAndPayment.ReceiptManagement.Receipt.ShowAccVoucher,True
226,2,ReceiptAndPayment.ReceiptManagement.Receipt.DeleteAccVoucher,True
227,2,ReceiptAndPayment.ReceiptManagement.Receipt.ShowReadOnlyAccVoucher,True
228,2,ReceiptAndPayment.ReceiptManagement.Receipt.ChequeSearch,True
229,2,ReceiptAndPayment.ReceiptManagement.Receipt.List,True
230,2,ReceiptAndPayment.BasicData.Cash.New,True
231,2,ReceiptAndPayment.BasicData.Cash.Edit,True
232,2,ReceiptAndPayment.BasicData.Cash.Delete,True
233,2,ReceiptAndPayment.BasicData.Cash.List,True
234,2,ReceiptAndPayment.BankReconciliation.BankBill.New,True
235,2,ReceiptAndPayment.BankReconciliation.BankBill.Edit,True
236,2,ReceiptAndPayment.BankReconciliation.BankBill.Delete,True
237,2,ReceiptAndPayment.BankReconciliation.BankBill.List,True
238,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.New,True
239,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.Edit,True
240,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.Delete,True
241,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.IssueAccVoucher,True
242,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.ViewAccVoucher,True
243,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.ViewReadOnlyAccVoucher,True
244,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.DeleteAccVoucher,True
245,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.PrintClear,True
246,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.ChequeSearch,True
247,2,ReceiptAndPayment.ReceiptManagement.ReceiptChequeBanking.List,True
248,2,ReceiptAndPayment.PaymentManagement.Review,True
249,2,ReceiptAndPayment.BankReconciliation.Reconciliation.New,True
250,2,ReceiptAndPayment.BankReconciliation.Reconciliation.Edit,True
251,2,ReceiptAndPayment.BankReconciliation.Reconciliation.Delete,True
252,2,ReceiptAndPayment.BankReconciliation.Reconciliation.List,True
253,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.New,True
254,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.Edit,True
255,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.Delete,True
256,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.IssueAccVoucher,True
257,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.ShowAccVoucher,True
258,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.ShowReadOnlyAccVoucher,True
259,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.DeleteAccVoucher,True
260,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.ChequeSearch,True
261,2,ReceiptAndPayment.PaymentManagement.PaymentChequeBanking.List,True
262,2,Accounting.VoucherManagement.CloseAccounts,True
263,2,Accounting.VoucherManagement.CloseAccountsIncomeExpense,True
264,2,Accounting.VoucherManagement.ChangeVoucherState,True
265,2,Accounting.AccountManagement.OtherDL.New,True
266,2,Accounting.AccountManagement.OtherDL.Edit,True
267,2,Accounting.AccountManagement.OtherDL.Delete,True
268,2,Accounting.AccountManagement.OtherDL.List,True
269,2,General.MarketingDisketteManagement.ConfigMarketingDiskette,True
270,2,Accounting.AccountManagement.Accounts.New,True
271,2,Accounting.AccountManagement.Accounts.Edit,True
272,2,Accounting.AccountManagement.Accounts.Delete,True
273,2,Accounting.AccountManagement.Accounts.List,True
274,2,Accounting.AccountManagement.Accounts.AccountsReview,True
275,2,Accounting.AccountManagement.DL.Show,True
276,2,Accounting.VoucherManagement.Voucher.New,True
277,2,Accounting.VoucherManagement.Voucher.Edit,True
278,2,Accounting.VoucherManagement.Voucher.View,True
279,2,Accounting.VoucherManagement.Voucher.Delete,True
280,2,Accounting.VoucherManagement.Voucher.List,True
281,2,Accounting.VoucherManagement.GLVoucher.IssueGLVoucher,True
282,2,Accounting.VoucherManagement.GLVoucher.DeleteGLVoucher,True
283,2,Accounting.VoucherManagement.GLVoucher.List,True
284,2,Accounting.VoucherManagement.ReorderVoucherNumbers,True
285,2,Accounting.VoucherManagement.ClosingOpening,True
286,2,Accounting.VoucherManagement.CurrencyConversion,True
287,2,General.MarketingDisketteManagement.PartyMarketingDiskette1396.New,True
288,2,General.MarketingDisketteManagement.PartyMarketingDiskette1396.Edit,True
289,2,General.MarketingDisketteManagement.PartyMarketingDiskette1396.Delete,True
290,2,General.MarketingDisketteManagement.PartyMarketingDiskette1396.IssueMarketingDiskette,True
