ConfigurationID,Key,Value,Version
149,InsuranceWorkshopName                             ,,1
150,InsuranceCompany                                  ,,1
151,CashDocCurrencyAccount                            ,795,5
152,SubmitChequeCurrencyAccount                       ,796,5
153,ProtestDocCurrencyAccount                         ,812,5
154,GuaranteeCurrencyAccount                          ,798,3
155,ReceiptAutoVoucher                                ,False,1
156,PaymentAutoVoucher                                ,False,1
157,ReceiptBankingAutoVoucher                         ,True,1
158,PaymentBankingAutoVoucher                         ,True,1
159,RefundAutoVoucher                                 ,True,1
160,ControlChequeBook                                 ,True,2
161,ControlNegativeBankBalance                        ,True,1
162,IsReceiptCheckBankingSeperatedByBank              ,False,1
163,IssueSepratedReceiptVoucher                       ,False,1
164,IssueSepratedPaymentVoucher                       ,False,1
165,AdvanceReceivedSL                                 ,702,4
166,SalesServiceSalesSLExport                         ,804,3
167,SalesServiceSalesReturnSLExport                   ,807,3
168,SalesServiceSalesDiscountSLExport                 ,810,3
169,SalesInvoiceAutomaticVoucher                      ,False,1
170,ShowTracingWithZeroStockQuantity                  ,True,1
171,IssueVoucherWithDiscount                          ,True,3
172,IssueReturnedInvoiceVoucherWithDiscount           ,False,2
173,SalesReturnedInvoiceAutomaticVoucher              ,True,1
174,IssueAccVoucherWithCommision                      ,True,1
175,SalesConsiderCustomerDiscount                     ,True,1
176,SalesConsiderPartDiscount                         ,True,1
177,SalesAutomaticallyIssueInventoryDelivery          ,True,1
178,SalesAutomaticallyIssueInventoryDeliveryReturn    ,True,1
179,SalesDateController                               ,False,2
180,SaleControlStockQuantiy                           ,False,2
181,ControlSaleWithReserveStockQuantiy                ,False,1
182,InitTracingFromSales                              ,False,1
183,ShowBarCodeInSaleVouchers                         ,False,1
184,IssueInvoiceFromQuotation                         ,False,1
185,ShowPriceInDelivery                               ,False,2
186,CorrectReceiptAndPaymentClosingOperationIsDone    ,True,1
187,AllowedPercentChange                              ,25,1
188,OnAccountDepreciationPercent                      ,1,1
189,DepositDepreciationPercent                        ,1,1
190,AdditiveCoefficientSL                             ,,1
191,ReductiveCoefficientSL                            ,,1
192,ContractStatusAutomaticVoucher                    ,True,1
193,ContractCostStatementAutomaticVoucher             ,True,1
194,StatusBillSerialStartValue                        ,1,1
195,ControlDeliveryBaseOnBOMStandardConsumption       ,False,4
196,AutomaticCoding                                   ,True,1
197,AutomaticCodingMethod                             ,Grouping,1
198,GroupCodeLength                                   ,4,2
199,ReadCodeNumberFromGrouping                        ,4,2
200,ItemCodeLength                                    ,3,3
201,NumeratorStarting                                 ,1,3
202,InventoryAmountAccess                             ,True,1
203,DefaultFixedAssetClass                            ,2,1
204,DefaultSaleAutomaticIssue                         ,True,2
205,DefaultEliminationAutomaticIssue                  ,True,2
206,DefaultAcquisitionAutomaticIssue                  ,True,2
207,AutomaticVoucherForAssetPurchaseInvoice           ,True,2
208,DefaultPrepairAutomaticIssue                      ,True,2
209,DefaultSalvageAutomaticIssue                      ,True,2
