ElementId,Title,Title_En,Class,Type,NormalType,AccountRef,DlType,InsuranceCoverage,Taxable,UnrelatedToWorkingTime,CalculateForMinWorkingTime,CalculateForMinBase,Coefficient,FixPoint,DenominatorsType,Denominators,SavingRemainder,IsActive,DisplayOrder,Version,Creator,CreationDate,LastModifier,LastModificationDate,PaymentAccountRef,PaymentDlType,ElementTaxType
-794,جمع عوامل مستمر غير نقدي مشمول ماليات سال تا ماه قبل,جمع عوامل مستمر غير نقدي مشمول ماليات سال تا ماه قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,794,1,1,2026-05-12 11:27:45.247000,1,2026-05-12 11:27:45.247000,,,0
-726,درآمد غير مستمر غير نقدي مشمول ماليات,درآمد غير مستمر غير نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,726,1,1,2026-05-12 11:27:45.247000,1,2026-05-12 11:27:45.247000,,,0
-725,درآمد غير مستمر نقدي مشمول ماليات,درآمد غير مستمر نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,725,1,1,2026-05-12 11:10:14.680000,1,2026-05-12 11:10:14.680000,,,0
-716,درآمد مستمر غير نقدي مشمول ماليات,درآمد مستمر غير نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,716,1,1,2026-05-12 11:27:45.247000,1,2026-05-12 11:27:45.247000,,,0
-715,درآمد مستمر نقدي مشمول ماليات,درآمد مستمر نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,715,1,1,2026-05-12 11:10:14.680000,1,2026-05-12 11:10:14.680000,,,0
-705,جمع عوامل غير مستمر غير نقدي مشمول ماليات,جمع عوامل غير مستمر غير نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,705,1,1,2026-05-12 11:27:45.247000,1,2026-05-12 11:27:45.247000,,,0
-700,جمع عوامل مستمر غير نقدي مشمول ماليات,جمع عوامل مستمر غير نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,700,1,1,2026-05-12 11:27:45.243000,1,2026-05-12 11:27:45.243000,,,0
-675,پايه سنوات محاسبه شده با توجه به حضور,پايه سنوات محاسبه شده با توجه به حضور,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,675,1,1,2025-03-13 09:48:44.670000,1,2025-03-13 09:48:44.670000,,,0
-670,پايه سنوات محاسبه شده,پايه سنوات محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,670,1,1,2025-03-13 09:48:44.670000,1,2025-03-13 09:48:44.670000,,,0
-650,حق تاهل محاسبه شده,حق تاهل محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,650,1,1,2025-03-13 09:48:44.637000,1,2025-03-13 09:48:44.637000,,,0
-600,معافيت بيمه كارفرما,معافيت بيمه كارفرما,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,600,1,1,2018-03-05 13:34:03.257000,1,2018-03-05 13:34:03.257000,,,0
-560,روزهاي ذخيره سنوات,روزهاي ذخيره سنوات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,500,1,1,2018-03-05 13:34:03.260000,1,2018-03-05 13:34:03.260000,,,0
-550,تاريخ مبنا ذخيره سنوات,تاريخ مبنا ذخيره سنوات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,550,1,1,2018-03-05 13:34:03.257000,1,2018-03-05 13:34:03.257000,,,0
-540,ذخيره سنوات طي دوره,ذخيره سنوات طي دوره,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,540,1,1,2018-03-05 13:34:03.257000,1,2018-03-05 13:34:03.257000,,,0
-530,ذخيره سنوات ابتداي دوره,ذخيره سنوات ابتداي دوره,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,530,1,1,2018-03-05 13:34:03.257000,1,2018-03-05 13:34:03.257000,,,0
-510,مبناي ذخيره سنوات,مبناي ذخيره سنوات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,510,1,1,2018-03-05 13:34:03.257000,1,2018-03-05 13:34:03.257000,,,0
-500,ذخيره سنوات,ذخيره سنوات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,560,1,1,2018-03-05 13:34:03.257000,1,2018-03-05 13:34:03.257000,,,0
-450,ماليات محاسبه شده,ماليات محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,450,1,1,2024-06-22 10:43:19.217000,1,2024-06-22 10:43:19.217000,,,0
-420,مانده مرخصي,مانده مرخصي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,420,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
-418,مانده مرخصي واقعي,مانده مرخصي واقعي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,418,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
