LookupRef,LocaleName,Title
40219,ar,10. إعلان المدين الدائن
40219,en,10.Debit Credit Note
40219,ku,10-رێك كردني حيسابي لايان مامڵەي
40220,ar,4.الاستلام
40220,en,1.Inventory Receipt
40220,ku,1-رەسيدي كۆگا
40221,ar,3- عودة الايصال
40221,en,3.Inventory Returned Receipt
40221,ku,2-هەڵگەڕاوەي رەسيد
40222,ar,4. الخصم النقدي للاستلام
40222,en,4.Receipt
40222,ku,4-وەرگرتن
40223,ar,5. الدفع
40223,en,5.Payment
40223,ku,5-پێدان
40224,ar,1. ايصال المستودع
40224,en,4.Receipt Discount
40224,ku,4-داشكاني نەختيي وەرگرتن
40225,ar,6- الخصم النقدي للدفع
40225,en,6.Payment Discount
40225,ku,6-داشكاني نەختيي پێدان
40226,ar,7.استرداد الشيك الدفعي
40226,en,7.Payment Refund Cheque
40226,ku,7-گەرانەوەي چەكي پێدراوە
40227,ar,8. استرداد الشيك المتلقي
40227,en,8.Receipt Refund Cheque
40227,ku,8-گەرانەوەي چەكي وەرگيراو
40228,ar,9.استرداد الشيك المستفاد
40228,en,9.Return Spended Cheque
40228,ku,9-گەڕانەوەي چەكي خەرج كراو
40229,ar,10.فاتورة شراء الخدمات
40229,en,10.Service Inventory Purchase Invoice
40229,ku,10-پسولەي كڕيني خزمەتگوزارييەكان
40230,ar,11. الفوائد و غرامات الانقسام
40230,en,11.Shred Interest And Penaly
40230,ku,11-قازانج و سزاي قيست بەندي
40231,en,10.Asset Purchase Invoice
40232,en,12.PurchaseInvoice
40233,en,12.BillOfLoading
40234,en,12.InsurancePolicy
40235,en,12.CommercialOrder
40236,en,12.CustomsClearance
40237,ar,مبيعات
40237,en,Sale
40237,ku,فرۆش
40238,ar,الشراء
40238,en,Buy
40238,ku,كڕين
40239,en, 
40240,ar,التلقي و الدفع
40240,en,Receipt And Payment
40240,ku,وەرگرتن و پێدان
40241,ar,المستودع
40241,en,Stocks
40241,ku,كۆگا
40242,ar,الزبائن و المبيعات
40242,en,Customers And Sale
40242,ku,كڕياران و فرۆش
40243,ar,المزودين
40243,en,Vendors
40243,ku,دابينكاران
40244,en,Fixed Asset
40245,ar,المفتوح
40245,en,Open
40245,ku,كراوە
40246,ar,مغلق
40246,en,Close
40246,ku,داخراو
40247,ar,غير محدد
40247,en,Undefined
40247,ku,ناڕوون
40248,ar,علي الحساب
40248,en,On Account
40248,ku,لەسەرژمێرە
40249,ar,الاستلام مقدماً
40249,en,Deposit
40249,ku,پێشەكي
40250,en,On Account Paymnet
40251,en,PrePayment
40252,ar,اجراء الالتزامات
40252,en,CommitmentFulfillment
40252,ku,جێبەجێ كردني بەڵێنەكان
