PosId,BankAccountRef,TerminalNo,DlRef,FirstAmount,Rate,CurrencyRef,Version,Creator,CreationDate,LastModifier,LastModificationDate,Balance
2,9,10001,134,0.0000,1.0000000000000000,1,1,1,2026-02-14 14:16:34,1,2026-02-14 14:16:34,0.0000
3,11,10002,136,0.0000,1.0000000000000000,1,1,1,2026-02-14 15:42:57,1,2026-02-14 15:42:57,0.0000
