TaxPayerPartyMappingID,PartyRef,TaxPayerPartyType,Version,Creator,CreationDate,LastModifier,LastModificationDate
164,175,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
165,178,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
166,182,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
167,184,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
168,186,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
169,201,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
170,202,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
171,203,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
172,204,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
173,205,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
174,206,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
175,207,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
176,208,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
177,209,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
178,216,,0,10,2026-05-21 11:58:48,10,2026-05-21 11:58:48
