Database: Sepidar01
================================================================================
Schema.Table                                       | Records    | File
DST.Order                                            |          0 | table_exports2\DST_Order.csv
DST.OrderItemAdditionFactor                          |          0 | table_exports2\DST_OrderItemAdditionFactor.csv
DST.PriorityItem                                     |          0 | table_exports2\DST_PriorityItem.csv
DST.PriorityItemItem                                 |          0 | table_exports2\DST_PriorityItemItem.csv
DST.OrderingFailure                                  |          0 | table_exports2\DST_OrderingFailure.csv
DST.ReturnOrderItemAdditionFactor                    |          0 | table_exports2\DST_ReturnOrderItemAdditionFactor.csv
DST.HotDistributionItem                              |          0 | table_exports2\DST_HotDistributionItem.csv
DST.HotDistributionPath                              |          0 | table_exports2\DST_HotDistributionPath.csv
DST.HotDistributionInventoryDelivery                 |          0 | table_exports2\DST_HotDistributionInventoryDelivery.csv
DST.HotDistribution                                  |          0 | table_exports2\DST_HotDistribution.csv
DST.DebtCollectionListInvoice                        |          0 | table_exports2\DST_DebtCollectionListInvoice.csv
DST.DebtCollectionList                               |          0 | table_exports2\DST_DebtCollectionList.csv
DST.SalesLimit                                       |          0 | table_exports2\DST_SalesLimit.csv
DST.SalesLimitItem                                   |          0 | table_exports2\DST_SalesLimitItem.csv
DST.ReturnReason                                     |          0 | table_exports2\DST_ReturnReason.csv
DST.ReturnOrderItem                                  |          0 | table_exports2\DST_ReturnOrderItem.csv
DST.ProductSaleLineStock                             |          0 | table_exports2\DST_ProductSaleLineStock.csv
DST.SalesLimitItemParty                              |          0 | table_exports2\DST_SalesLimitItemParty.csv
DST.AreaAndPath                                      |          1 | table_exports2\DST_AreaAndPath.csv
DST.UnexecutedActReason                              |          0 | table_exports2\DST_UnexecutedActReason.csv
DST.ColdDistributionReturnedInvoice                  |          0 | table_exports2\DST_ColdDistributionReturnedInvoice.csv
DST.ColdDistribution                                 |          0 | table_exports2\DST_ColdDistribution.csv
DST.ColdDistributionInvoice                          |          0 | table_exports2\DST_ColdDistributionInvoice.csv
DST.CustomerReceiptInfoCheque                        |          0 | table_exports2\DST_CustomerReceiptInfoCheque.csv
DST.OrderItem                                        |          0 | table_exports2\DST_OrderItem.csv
DST.CustomerReceiptInfo                              |          0 | table_exports2\DST_CustomerReceiptInfo.csv
DST.OrderingScheduleRelatedActivities                |          0 | table_exports2\DST_OrderingScheduleRelatedActivities.csv
DST.OrderingSchedule                                 |          0 | table_exports2\DST_OrderingSchedule.csv
DST.OrderingScheduleRecurrence                       |          0 | table_exports2\DST_OrderingScheduleRecurrence.csv
DST.Agreement                                        |          0 | table_exports2\DST_Agreement.csv
DST.PriorityItemParty                                |          0 | table_exports2\DST_PriorityItemParty.csv
DST.OrderingFailureItem                              |          0 | table_exports2\DST_OrderingFailureItem.csv
DST.ProductSaleLineParty                             |          0 | table_exports2\DST_ProductSaleLineParty.csv
DST.ProductSaleLineItem                              |          0 | table_exports2\DST_ProductSaleLineItem.csv
DST.SaleTypeConstraintItem                           |          0 | table_exports2\DST_SaleTypeConstraintItem.csv
DST.ReturnOrder                                      |          0 | table_exports2\DST_ReturnOrder.csv
DST.HotDistributionUnexecutedAct                     |          0 | table_exports2\DST_HotDistributionUnexecutedAct.csv
DST.SaleTypeConstraint                               |          0 | table_exports2\DST_SaleTypeConstraint.csv
DST.PathPartyAddress                                 |          0 | table_exports2\DST_PathPartyAddress.csv
DST.ProductSaleLine                                  |          0 | table_exports2\DST_ProductSaleLine.csv
POM.InsurancePolicy                                  |          0 | table_exports2\POM_InsurancePolicy.csv
POM.PurchaseRequestItemVendor                        |          0 | table_exports2\POM_PurchaseRequestItemVendor.csv
POM.Performa                                         |          0 | table_exports2\POM_Performa.csv
POM.InsurancePolicyItem                              |          0 | table_exports2\POM_InsurancePolicyItem.csv
POM.CommercialOrder                                  |          0 | table_exports2\POM_CommercialOrder.csv
POM.Customs                                          |          0 | table_exports2\POM_Customs.csv
POM.CommercialOrderItem                              |          0 | table_exports2\POM_CommercialOrderItem.csv
POM.CustomsClearance                                 |          0 | table_exports2\POM_CustomsClearance.csv
POM.PurchaseRequest                                  |          0 | table_exports2\POM_PurchaseRequest.csv
POM.CustomsClearanceItem                             |          0 | table_exports2\POM_CustomsClearanceItem.csv
POM.PurchaseRequestItem                              |          0 | table_exports2\POM_PurchaseRequestItem.csv
POM.PurchaseOrderItem                                |          0 | table_exports2\POM_PurchaseOrderItem.csv
POM.PurchaseOrder                                    |          0 | table_exports2\POM_PurchaseOrder.csv
POM.PurchaseInvoiceItem                              |          0 | table_exports2\POM_PurchaseInvoiceItem.csv
POM.PerformaItem                                     |          0 | table_exports2\POM_PerformaItem.csv
POM.PurchaseCost                                     |          0 | table_exports2\POM_PurchaseCost.csv
POM.PurchaseCostItem                                 |          0 | table_exports2\POM_PurchaseCostItem.csv
POM.PurchaseInvoice                                  |          0 | table_exports2\POM_PurchaseInvoice.csv
POM.PurchaseOtherCostItem                            |          0 | table_exports2\POM_PurchaseOtherCostItem.csv
POM.ItemRequest                                      |          0 | table_exports2\POM_ItemRequest.csv
POM.ItemRequestItem                                  |          0 | table_exports2\POM_ItemRequestItem.csv
POM.BillOfLoadingItem                                |          0 | table_exports2\POM_BillOfLoadingItem.csv
POM.BillOfLoading                                    |          0 | table_exports2\POM_BillOfLoading.csv
MRP.ManagementReportFilter                           |          0 | table_exports2\MRP_ManagementReportFilter.csv
MRP.ManagementReportState                            |          0 | table_exports2\MRP_ManagementReportState.csv
MRP.ManagementReportGrouping                         |          0 | table_exports2\MRP_ManagementReportGrouping.csv
MRP.ManagementReportFilterValue                      |          0 | table_exports2\MRP_ManagementReportFilterValue.csv
MRP.ObjectHash                                       |         33 | table_exports2\MRP_ObjectHash.csv
MRP.ObjectDependency                                 |         16 | table_exports2\MRP_ObjectDependency.csv
MRP.SaleFacts                                        |      37398 | table_exports2\MRP_SaleFacts.csv
MRP.ReceivableCommitmentsFact                        |      16515 | table_exports2\MRP_ReceivableCommitmentsFact.csv
MRP.ItemTransactionsFact                             |          0 | table_exports2\MRP_ItemTransactionsFact.csv
--------------------------------------------------------------------------------

Total tables exported: 414
Total records exported: 325623
