Database: Sepidar01
================================================================================
Schema.Table                                       | Records    | File
GNR.TaxPayerContractAgreementItemMapper              |          0 | table_exports2\GNR_TaxPayerContractAgreementItemMapper.csv
GNR.ElementSavedValue                                |          0 | table_exports2\GNR_ElementSavedValue.csv
GNR.MarketingDisketteCurrencyMapper                  |          5 | table_exports2\GNR_MarketingDisketteCurrencyMapper.csv
GNR.TaxPayerAssetSaleItemMapper                      |          0 | table_exports2\GNR_TaxPayerAssetSaleItemMapper.csv
GNR.FormulaElement                                   |          4 | table_exports2\GNR_FormulaElement.csv
GNR.TaxPayerUnit                                     |         98 | table_exports2\GNR_TaxPayerUnit.csv
GNR.TaxPayerContractMapper                           |          0 | table_exports2\GNR_TaxPayerContractMapper.csv
GNR.TaxPayerUnitMapper                               |         15 | table_exports2\GNR_TaxPayerUnitMapper.csv
GNR.DeliveryLocation                                 |          1 | table_exports2\GNR_DeliveryLocation.csv
GNR.MarketingDisketteCurrency                        |        142 | table_exports2\GNR_MarketingDisketteCurrency.csv
GNR.MarketingDiskette1396                            |          0 | table_exports2\GNR_MarketingDiskette1396.csv
GNR.TaxPayerItemMapping                              |        359 | table_exports2\GNR_TaxPayerItemMapping.csv
GNR.TaxPayerCurrency                                 |        142 | table_exports2\GNR_TaxPayerCurrency.csv
GNR.DebitCreditNoteItem                              |         23 | table_exports2\GNR_DebitCreditNoteItem.csv
GNR.CommunicationConfiguration                       |          0 | table_exports2\GNR_CommunicationConfiguration.csv
GNR.TaxPayerCurrencyMapper                           |          1 | table_exports2\GNR_TaxPayerCurrencyMapper.csv
GNR.RemovedReminder                                  |          1 | table_exports2\GNR_RemovedReminder.csv
GNR.MarketingDiskettePartyMapper                     |          0 | table_exports2\GNR_MarketingDiskettePartyMapper.csv
GNR.MarketingDisketteItem                            |          0 | table_exports2\GNR_MarketingDisketteItem.csv
GNR.TaxPayerGeneralLog                               |          0 | table_exports2\GNR_TaxPayerGeneralLog.csv
GNR.MarketingDiskette                                |          0 | table_exports2\GNR_MarketingDiskette.csv
GNR.Logo                                             |          1 | table_exports2\GNR_Logo.csv
GNR.Reminder                                         |          2 | table_exports2\GNR_Reminder.csv
GNR.Location                                         |       7765 | table_exports2\GNR_Location.csv
GNR.PartyOpeningBalance                              |        231 | table_exports2\GNR_PartyOpeningBalance.csv
GNR.Truck                                            |          0 | table_exports2\GNR_Truck.csv
GNR.PartyAddress                                     |          2 | table_exports2\GNR_PartyAddress.csv
GNR.Device                                           |          0 | table_exports2\GNR_Device.csv
GNR.Party                                            |        161 | table_exports2\GNR_Party.csv
GNR.DeviceUserParty                                  |          0 | table_exports2\GNR_DeviceUserParty.csv
GNR.TaxPayerBillItem                                 |          0 | table_exports2\GNR_TaxPayerBillItem.csv
GNR.CurrencyExchangeRate                             |          2 | table_exports2\GNR_CurrencyExchangeRate.csv
GNR.TaxPayerBill                                     |          0 | table_exports2\GNR_TaxPayerBill.csv
GNR.Currency                                         |          6 | table_exports2\GNR_Currency.csv
GNR.TaxPayerBillSubmitLog                            |          0 | table_exports2\GNR_TaxPayerBillSubmitLog.csv
GNR.DebitCreditNote                                  |         23 | table_exports2\GNR_DebitCreditNote.csv
GNR.CostCenter                                       |          8 | table_exports2\GNR_CostCenter.csv
GNR.PiofyEmployeeMapper                              |          0 | table_exports2\GNR_PiofyEmployeeMapper.csv
GNR.EstablishmentCommunication                       |          0 | table_exports2\GNR_EstablishmentCommunication.csv
GNR.ClosingOperation                                 |          0 | table_exports2\GNR_ClosingOperation.csv
GNR.CalculationElement                               |          4 | table_exports2\GNR_CalculationElement.csv
GNR.Communication                                    |          0 | table_exports2\GNR_Communication.csv
GNR.CalculationFormula                               |          1 | table_exports2\GNR_CalculationFormula.csv
GNR.AutomaticBackupConfig                            |          1 | table_exports2\GNR_AutomaticBackupConfig.csv
GNR.BillItem                                         |          0 | table_exports2\GNR_BillItem.csv
GNR.Backup                                           |        463 | table_exports2\GNR_Backup.csv
GNR.Bill                                             |          0 | table_exports2\GNR_Bill.csv
GNR.Signature                                        |          0 | table_exports2\GNR_Signature.csv
INV.InventoryPurchaseInvoiceItem                     |         46 | table_exports2\INV_InventoryPurchaseInvoiceItem.csv
INV.InventoryPurchaseInvoice                         |         15 | table_exports2\INV_InventoryPurchaseInvoice.csv
INV.InventoryPricingVoucherItem                      |          0 | table_exports2\INV_InventoryPricingVoucherItem.csv
INV.InventoryPricingVoucher                          |          0 | table_exports2\INV_InventoryPricingVoucher.csv
INV.InventoryPricing                                 |          0 | table_exports2\INV_InventoryPricing.csv
INV.InventoryReceipt                                 |       2312 | table_exports2\INV_InventoryReceipt.csv
INV.Item                                             |        388 | table_exports2\INV_Item.csv
INV.InventoryReceiptItem                             |       4244 | table_exports2\INV_InventoryReceiptItem.csv
INV.Tracing                                          |          0 | table_exports2\INV_Tracing.csv
INV.Unit                                             |         15 | table_exports2\INV_Unit.csv
INV.ItemPropertyAmount                               |          0 | table_exports2\INV_ItemPropertyAmount.csv
INV.TracingCategory                                  |          1 | table_exports2\INV_TracingCategory.csv
INV.Property                                         |         10 | table_exports2\INV_Property.csv
INV.ProducedItemPrice                                |          0 | table_exports2\INV_ProducedItemPrice.csv
INV.PricingItemPrice                                 |          0 | table_exports2\INV_PricingItemPrice.csv
INV.InventoryWeighbridge                             |          0 | table_exports2\INV_InventoryWeighbridge.csv
INV.InventoryWeighing                                |          0 | table_exports2\INV_InventoryWeighing.csv
INV.InventoryWeighbridgeConfiguration                |          0 | table_exports2\INV_InventoryWeighbridgeConfiguration.csv
INV.Stock                                            |         11 | table_exports2\INV_Stock.csv
INV.ItemCategory                                     |         42 | table_exports2\INV_ItemCategory.csv
INV.ItemStock                                        |        835 | table_exports2\INV_ItemStock.csv
INV.ItemImage                                        |          0 | table_exports2\INV_ItemImage.csv
INV.ItemStockSummary                                 |        594 | table_exports2\INV_ItemStockSummary.csv
INV.Group                                            |          0 | table_exports2\INV_Group.csv
INV.PropertyDetail                                   |          0 | table_exports2\INV_PropertyDetail.csv
