ItemID,Type,Code,Title,Title_En,BarCode,UnitRef,SecondaryUnitRef,SaleUnitRef,IsUnitRatioConstant,UnitsRatio,MinimumAmount,MaximumAmount,CanHaveTracing,TracingCategoryRef,IsPricingBasedOnTracing,TaxExempt,TaxExemptPurchase,Sellable,DefaultStockRef,PurchaseGroupRef,SaleGroupRef,CompoundBarcodeRef,ItemCategoryRef,Creator,CreationDate,LastModifier,LastModificationDate,Version,IsActive,AccountSLRef,IranCode,TaxRate,DutyRate,CodingGroupRef,SerialTracking,Weight,Volume,ConsumerFee
1932,1,2300014,ران و سردست گوساله,ران و سردست گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:41,10,2026-03-02 17:37:34,1,True,,,0.0000,0.0000,72,False,,,
1933,1,2300015,چربي گوساله,چربي گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:41,10,2026-03-02 17:37:44,1,True,,,0.0000,0.0000,72,False,,,
1937,1,2300019,ماهيچه گوساله,ماهيچه گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:43,10,2026-03-02 17:38:45,1,True,,,0.0000,0.0000,72,False,,,
1938,1,2300020,مرغ مرينت خام,مرغ مرينت خام,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:43,10,2026-03-02 17:38:56,1,True,,,0.0000,0.0000,72,False,,,
1939,1,2300021,گوشواره مرغ,گوشواره مرغ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:43,10,2026-03-02 17:39:07,1,True,,,0.0000,0.0000,72,False,,,
1940,1,2300022,فيله مرغ,فيله مرغ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:44,10,2026-03-02 17:39:17,1,True,,,0.0000,0.0000,72,False,,,
1941,1,2300023,سينه مرغ پاك شده,سينه مرغ پاك شده,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:44,10,2026-03-02 17:39:25,1,True,,,0.0000,0.0000,72,False,,,
1942,1,2300024,ساق مرغ,ساق مرغ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:44,10,2026-03-02 17:39:36,1,True,,,0.0000,0.0000,72,False,,,
1943,1,2300025,ران مرغ,ران مرغ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:45,10,2026-03-02 17:39:44,1,True,,,0.0000,0.0000,72,False,,,
1944,1,2300026,ضايعات گوشت,ضايعات گوشت,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:45,10,2026-03-02 17:39:58,1,True,,,0.0000,0.0000,72,False,,,
1945,1,2300027,ضايعات مرغ,ضايعات مرغ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:45,10,2026-03-02 17:40:05,1,True,,,0.0000,0.0000,72,False,,,
1946,1,2300028,راستا غير مغز,راستا غير مغز,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:46,10,2026-03-02 17:40:17,1,True,,,0.0000,0.0000,72,False,,,
1947,1,2300029,ژامبون كپور,ژامبون كپور,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:46,1,2025-09-23 11:58:46,0,True,,,10.0000,0.0000,72,False,,,
1948,1,2300030,پنير موزارلا,پنير موزارلا,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:46,1,2025-09-23 11:58:46,0,True,,,10.0000,0.0000,72,False,,,
