StandardDescriptionId,EntityTypeName,Key,Value,Version
1,"PaymentHeaderDataTable,Description,SG.ReceiptAndPayment.PaymentManagement.Common.dll",0,استقرار چكهاي پرداختني اول دوره,1
2,"PaymentHeaderDataTable,Description,SG.ReceiptAndPayment.PaymentManagement.Common.dll",0,برداشت از پارسيان اقا مجيد بابت اضافه كاري فروردين و ارديبهشت محمد حاتميبرداشت از پارسيان اقا مجيد بابت اضافه كاري فروردين و ارديبهشت محمد حاتمي,1
