ItemStockSummaryID,StockRef,ItemRef,TracingRef,Order,UnitRef,InputQuantity,OutputQuantity,Quantity,SaleQuantity,FiscalYearRef,SaleWithReserveQuantity,FeedFromClosingOperation
184,10,2132,,1,2,15864.0000,13371.0000,2493.0000,0.0000,1,0.0000,False
185,10,2135,,1,2,1896.0000,1776.0000,120.0000,0.0000,1,0.0000,False
186,10,2133,,1,2,2592.0000,2232.0000,360.0000,0.0000,1,0.0000,False
187,10,2138,,1,2,912.0000,1080.0000,-168.0000,0.0000,1,0.0000,False
188,10,2136,,1,2,1224.0000,1176.0000,48.0000,0.0000,1,0.0000,False
189,10,2137,,1,2,1440.0000,1320.0000,120.0000,0.0000,1,0.0000,False
190,10,2130,,1,2,1740.0000,1590.0000,150.0000,0.0000,1,0.0000,False
191,10,2129,,1,2,1932.0000,1764.0000,168.0000,0.0000,1,0.0000,False
192,10,2131,,1,2,684.0000,534.0000,150.0000,0.0000,1,0.0000,False
193,10,2134,,1,2,2424.0000,2040.0000,384.0000,0.0000,1,0.0000,False
199,11,2088,,1,2,847.0000,847.0000,0.0000,0.0000,1,0.0000,False
200,10,2247,,1,2,150.0000,96.0000,54.0000,0.0000,1,0.0000,False
201,10,2248,,1,2,30.0000,30.0000,0.0000,0.0000,1,0.0000,False
722,10,2234,,1,2,320.0000,20.0000,300.0000,0.0000,1,0.0000,False
723,10,2229,,1,2,1368.0000,492.0000,876.0000,0.0000,1,0.0000,False
724,10,2221,,1,2,171600.0000,152750.0000,18850.0000,0.0000,1,0.0000,False
725,10,2210,,1,1,16.0000,13.4000,2.6000,0.0000,1,0.0000,False
726,10,1985,,1,1,18.4810,12.3750,6.1060,0.0000,1,0.0000,False
727,10,2020,,1,2,1176.0000,420.0000,756.0000,0.0000,1,0.0000,False
728,10,2257,,1,2,4000.0000,3750.0000,250.0000,0.0000,1,0.0000,False
729,10,1909,,1,2,2500.0000,500.0000,2000.0000,0.0000,1,0.0000,False
730,10,1865,,1,5,38.3716,48.8768,-10.5052,0.0000,1,0.0000,False
731,10,1876,,1,1,3.3080,2.4440,0.8640,0.0000,1,0.0000,False
732,10,2018,,1,2,30.0000,7.0000,23.0000,0.0000,1,0.0000,False
733,10,2047,,1,1,50.8528,44.9082,5.9446,0.0000,1,0.0000,False
734,10,1997,,1,2,6125.0000,5975.0000,150.0000,0.0000,1,0.0000,False
735,10,1875,,1,1,102.6712,109.6462,-6.9750,0.0000,1,0.0000,False
736,10,1882,,1,1,1.8880,0.6537,1.2343,0.0000,1,0.0000,False
737,10,2033,,1,2,4.0000,0.0000,4.0000,0.0000,1,0.0000,False
738,10,2004,,1,2,15760.0000,4238.0000,11522.0000,0.0000,1,0.0000,False
739,10,2025,,1,2,3700.0000,2900.0000,800.0000,0.0000,1,0.0000,False
740,10,1992,,1,2,51.0000,17.0000,34.0000,0.0000,1,0.0000,False
741,10,2001,,1,1,246.8500,128.2500,118.6000,0.0000,1,0.0000,False
742,10,2035,,1,5,20.0000,0.0000,20.0000,0.0000,1,0.0000,False
743,10,2182,,1,1,4.2000,4.2000,0.0000,0.0000,1,0.0000,False
744,10,2034,,1,2,2000.0000,1993.0000,7.0000,0.0000,1,0.0000,False
745,10,2009,,1,7,1000.0000,0.0000,1000.0000,0.0000,1,0.0000,False
746,10,1862,,1,1,157.7478,178.3099,-20.5621,0.0000,1,0.0000,False
747,10,2041,,1,5,33.6000,24.8200,8.7800,0.0000,1,0.0000,False
748,10,2062,,1,1,50.6598,67.1180,-16.4582,0.0000,1,0.0000,False
749,10,2012,,1,2,12300.0000,8750.0000,3550.0000,0.0000,1,0.0000,False
750,10,2228,,1,2,862.0000,262.0000,600.0000,0.0000,1,0.0000,False
751,10,1973,,1,1,11.7400,6.0000,5.7400,0.0000,1,0.0000,False
752,10,1950,,1,1,0.3900,0.0030,0.3870,0.0000,1,0.0000,False
753,10,2121,,1,2,150.0000,0.0000,150.0000,0.0000,1,0.0000,False
754,10,2005,,1,2,17500.0000,18470.0000,-970.0000,0.0000,1,0.0000,False
755,10,2055,,1,1,24.9142,24.4814,0.4328,0.0000,1,0.0000,False
756,10,2255,,1,1,5.8000,0.0000,5.8000,0.0000,1,0.0000,False
757,10,1972,,1,1,104.9378,83.8285,21.1093,0.0000,1,0.0000,False
758,10,1889,,1,1,0.2512,0.5650,-0.3138,0.0000,1,0.0000,False
759,10,2254,,1,2,180.0000,180.0000,0.0000,0.0000,1,0.0000,False
760,10,1993,,1,2,800.0000,900.0000,-100.0000,0.0000,1,0.0000,False
761,10,2215,,1,2,388.0000,1226.0000,-838.0000,0.0000,1,0.0000,False
762,10,2262,,1,1,760.0000,100.0000,660.0000,0.0000,1,0.0000,False
763,10,2113,,1,2,984.0000,960.0000,24.0000,0.0000,1,0.0000,False
764,10,2261,,1,1,108.4400,68.4000,40.0400,0.0000,1,0.0000,False
765,10,2163,,1,1,3.4000,3.4000,0.0000,0.0000,1,0.0000,False
766,10,1899,,1,14,42.1200,42.1200,0.0000,0.0000,1,0.0000,False
767,10,2216,,1,2,5791.0000,7400.0000,-1609.0000,0.0000,1,0.0000,False
768,10,2217,,1,2,5777.0000,7133.0000,-1356.0000,0.0000,1,0.0000,False
769,10,2224,,1,8,48.0000,48.0000,0.0000,0.0000,1,0.0000,False
770,10,2252,,1,1,8.0000,5.0000,3.0000,0.0000,1,0.0000,False
771,10,1941,,1,1,4125.4600,3421.1100,704.3500,0.0000,1,0.0000,False
772,10,2057,,1,1,12.8544,8.8170,4.0374,0.0000,1,0.0000,False
773,10,1918,,1,1,2.5300,1.9913,0.5387,0.0000,1,0.0000,False
774,10,2000,,1,2,12591.0000,7269.0000,5322.0000,0.0000,1,0.0000,False
775,10,2029,,1,1,40.0500,2.4900,37.5600,0.0000,1,0.0000,False
776,10,2169,,1,1,8.4163,4.7386,3.6777,0.0000,1,0.0000,False
777,10,2206,,1,1,163.1404,161.4061,1.7343,0.0000,1,0.0000,False
778,10,2058,,1,1,7248.0000,6418.5000,829.5000,0.0000,1,0.0000,False
779,10,1872,,1,1,10.0000,1.4750,8.5250,0.0000,1,0.0000,False
