BranchId,Type,BranchPartyRef,Code,ContractNumber,NoInsurancePersonsCount,AdjustmentType,CostCenterRef,Version,Creator,CreationDate,LastModifier,LastModificationDate,CostCenterDlRef,WorkshopName,Company,WorkshopAddress
1,1,3,1,,0,0,,1,1,2018-03-05 14:00:08,1,2018-03-05 14:00:08,,,,
2,2,2,1,,0,2,,1,1,2018-03-05 14:00:25,1,2018-03-05 14:00:25,,,,
