KeywordRef,LocaleName,Value
4273,fa,فهرست كاربران، ليست
4274,fa,تعريف كاربر، دسترسي كاربران، تغييركلمه عبور كاربران
4275,fa,بك آپ، Back up، بازيابي، بانك اطلاعاتي، نسخه پشتيبان، مسير، دراپ باكس
4276,fa,فهرست دستگاه، ليست
4277,fa,موبايل، تبلت
4278,fa,فهرست وسيله حمل، ليست
4279,fa,ماشين
4280,fa,فهرست صورت حساب طرف مقابل، متشري، تامين كننده، ليست
4281,fa,خريد، فروش، مانده حساب، ريز حساب، بدهي، طلب، گردش حساب، تامين كننده، مشتري
4282,fa,فهرست مركز هزينه، دواير خدمت، خطوط توليد، واحدهاي هزينه، ليست
4283,fa,تعريف مركز توليد، دواير خدمت، خط توليد، واحدهاي هزينه
4284,fa,فهرست ارزها، واخدهاي پول، ليست
4285,fa,واحد پول
4286,fa,فهرست نرخ ارز، نرخ تبديل واحد پول، ليست
4287,fa,نوسانات ارز، تغييرات ارز، نرخ تبديل واحد پول
4288,fa,فهرست تهاتر حساب، اعلاميه بدهكار بستانكار، ليست
4289,fa,تهاتر حساب، تنخواه دار، انتقال حساب
4290,fa,فهرست معاملات فصلي، ليست
4291,fa, 169 مكرر، فايل معاملات فصلي، TTMS
4292,fa,فهرست معاملات فصلي، ليست
4293,fa, 169 مكرر، فايل معاملات فصلي، TTMS
4294,fa,فهرست اشخاص، مشتريان، تامين كنندگان، واسط، بازارياب، كارمند، پرسنل، ليست
4295,fa,تعريف، اشخاص حقيقي و حقوقي، مشتري، تامين كننده، واسط، بازارياب، كارمند، پرسنل
4296,fa,فهرست اقساط، وام ها، ليست
4297,fa,فروش، قسط بندي فاكتور، خريد، وام پرسنل، دريافت، پرداخت
4298,fa,فهرست اقساط وام كارمندي، ليست
4299,fa,شروع، راه اندازي، استقرار
4300,fa,گزاش تجزيه سني، فروش ماهانه و روزانه، سود فروش، گردش نقدينگي
4301,fa,گزارش كالاهاي نيازمندسفارش، چكهاي سررسيد شده، ضمانتنامه ها، فاكتور هاي تحويل نشده، اقساط
4302,fa,فهرست ماليات بر ارزش افزوده، ليست
4303,fa,Tax، VAT، خلاصه خريد، خلاصه فروش
4304,fa,فهرست فاكتور خريد دارايي، ليست
4305,fa,ثبت مخارج تحصيل، هزينه هاي بهره برداري
4306,fa,فهرست فاكتور خريد خدمات، خدمات خريداري شده، هزينه هاي خريداري شده، ليست
4307,fa,دريافت خدمت، ثبت هزينه، قبوض، ارزش افزوده خريد
4308,fa,فهرست انبارگرداني ها، ليست
4309,fa,تگ، شمارش، كسر، اضافه، واقعي كردن موجودي، تعداد واقعي كالا
4310,fa,فهرست حواله، مصرف مواد، انتقال بين انبارها، جابجايي انبارها، ليست
4311,fa,حواله، حواله فاكتور، تحويل كالا، خروج مواد اوليه، مصرف، انتقال بين انبار، جابجايي، فروش
4312,fa,فهرست حواله برگشت، تحويل كالا، ليست
4313,fa,برگشتي كالا، حواله برگشتي، فروش، تحويل
4314,fa,حذف قيمت گذاري انبار، حواله ها، خروج ها ، ريال انبار
4315,fa,ميانگين موزون، بهاي تمام شده كالاي فروش رفته، محاسبه ميانگين، حواله، خروج، ريالي كردن
4316,fa,فهرست فاكتور خريد، ليست
4317,fa,فاكتور خريد كالا، سفارش خريد
4318,fa,فهرست رسيد انبار، ورود، خريد، توليد، ليست
4319,fa,قبض انبار،ورود كالا، واردات، خارجي، ثبت سفارش، هزينه حمل، قبض توليد، موجودي اول دوره، رسيد انتقالي، ارزش افزوده خريد
4320,fa,فهرست مرجوعي كالا، كالاهاي مرجوع شده، ليست
4321,fa,برگشت خريد، قبض برگشتي، عودت كالا، مرجوع، برگشت قبض انبار، برگشت از توليد
4322,fa,گزارش، كالا، گردش، رديابي، ريز خريد، ريز توليد، كاردكس، مانده، موجودي، خالص
4323,fa,كاردكس رديابي
4324,fa,رسيد توليد، سفارشات، تعيين بهاي تمام شده كالاي ساخته شده، توليد، ريالي كردن توليد
4325,fa,فهرست قلم كالا، ليست
4326,fa,تعريف، قلم، حذف، ويرايش، مشخصه
4327,fa,ويژگي
4328,fa,گردش سريال كالا
4329,fa,فهرست انبار، ليست
4330,fa,تعريف، محل نگهداري كالا، محل فيزيكي
4331,fa,فهرست شمارش، اندازه گيري، اصلي، فرعي، دوم، ليست
4332,fa,واحد اندازه گيري كالا، واحد شمارش، دوم، اصلي، فرعي
4333,fa,فهرست توزين، باسكول، ليست
4334,fa,باسكول، وزن ماشين، وزن كالا
4335,fa,بيمه تامين اجتماعي، بيمه تكميلي، دارايي
4336,fa,فهرست عوامل حقوق، مزاياي پرسنل، ليست
4337,fa,عوامل قرارداد، پرداختي به پرسنل، مزايا، كسور، تعهدات كارفرما، كاركرد، روزانه، ساعتي
4338,fa,فهرست شغل، ليست
4339,fa,سمت، كار، پيشه كارمند، كد شغل بيمه
4340,fa,فهرست وام هاي تعريف شده، ليست
4341,fa,تعريف وام كارمندي، انواع وام كارمندي
4342,fa,فهرست جداول مالياتي، ليست
4343,fa,قانون ماليات حقوق، پله هاي معافيت مالياتي
4344,fa,فهرست محل خدمت، فعاليت، اشتغال، ليست
4345,fa,محل فعاليت، محل اشتغال
4346,fa,فرمول دهي، فرمول محاسبه، نحوه، عامل ماليات پذير، بيمه پذير
4347,fa,فهرست قرارداد، جكم پرسنلي، ليست
4348,fa,ثبت قرارداد پرسنلي، حكم
4349,fa,فهرست استقرار ماه قبل، اطلاعات قبلي كارمند، ليست
4350,fa,حقوق، ماليات، مرخصي، سنوات، ماه قبل، اطلاعات قبلي كارمند
4351,fa,عملكرد، ريز كاركرد، ثبت مرخصي، پاداش 
4352,fa,پرسنل، ترك كار، پايان كار، پايان قرارداد، تسويه كارمند
4353,fa,ليست پرداخت گروهي، ديسكت، ديسكت پرداخت بانك، ليست
4354,fa,فيش حقوق، عيدي، مرخصي، ذخيره سنوات، محاسبات ماهانه، بازخريد مرخصي
4355,fa,تغيير مانده، ويرايش، سوخت
4356,fa,حق بيمه پرسنل، تامين اجتماعي، فايل بيمه
4357,fa,گزارشات حقوق
4358,fa,گزارش، جزئيات محاسبات، جزئيات محاسبه حقوق
4359,fa,فايل الكترونيك ماليات بر درامد حقوق، Salary، فايل ماليات بر درآمد پرسنل
4360,fa,فهرست صورت حساب بانكي، ليست
4361,fa,مانده، ريز، پرينت، مغايرت گيري
4362,fa,فهرست مغايرت بانكي، ليست
4363,fa,مغايرت گيري 
4364,fa,فهرست حسابهاي بانكي، تفصيل، ليست
4365,fa,تعريف شماره حساب، تفصيل بانك
4366,fa,فهرست صندوق، تفصيل، ليست
4367,fa,تفصيل
4368,fa,فهرست دسته چك ها، ليست
4369,fa,بانكي
4370,fa,فهرست دستگاه كارتخوان، ليست
4371,fa,كارتخوان متصل به حساب بانك، دستگاه پوز، پوز بانكي
4372,fa,تنخواه گردان، تنخواه دار، تنخواه، مسئول تنخواه
4373,fa,فهرست تنخواه گردان، فهرست تنخواه دار، فهرست تنخواه، فهرست مسئول تنخواه
4374,fa,فهرست تسويه حساب طرف مقابل، تسويه هاي انجام شده، ليست
4375,fa,تسويه فاكتور، تسويه مانده مشتري
4376,fa,صورت هزينه تنخواه گردان، خلاصه صورت هزينه، صورت حساب تنخواه، ثبت فاكتور هاي تنخواه، صورت خلاصه تنخواه
4377,fa,فهرست صورت هزينه تنخواه گردان، فهرست خلاصه صورت هزينه، فهرست صورت حساب تنخواه، فهرست ثبت فاكتور هاي تنخواه، فهرست صورت خلاصه تنخواه
4378,fa,فهرست برداشت از حساب، نقدي، خرج كردن چك، صندوق، ليست
4379,fa,برداشت از حساب، نقدي، خرج كردن چك، صندوق، راس گيري، بانكي، چك، ضميني، ضمانت، شارژ تنخواه، پراخت به تنخواه دار، پرداخت به تنخواه گردان، شارژ تنخواه گردان
4380,fa,فهرست وصول چك پرداختي، نقد شده، ليست
4381,fa,نقد كردن، چك مدت دار
4382,fa,فهرست چك هاي مسترد شده، برگشت، ليست 
4383,fa,برگشت چك، عودت، تعويض
4384,fa,گزارش، گردش حساب بانك، چكهاي نزد صندوق، دريافتي، تنخواه دار، پرداختي، سررسيد، ريز بانك، خزانه
4385,fa,فهرست انتقال مانده كارتخوان، انتقال به حساب، حواله، ليست
4386,fa,انتقال مانده كارتخوان، شاپرك، انتقال به حساب، حواله
4387,fa,فهرست حواله بانكي، واريزي نقدي، چك، كارتخوان، ليست
4388,fa,حواله بانكي، واريزي نقدي، چك، كارتخوان، مشتري، صندوق، راس گيري، تضميني، ضمانت، تسويه تنخواه، تسويه تنخواه گردان، تسويه حساب تنخواه، دريافت مانده تنخواه
4389,fa,فهرست چك هاي نزد بانك، پاس شده، نقد، وصول، برگشت، واخواست، ليست
4390,fa,خواباندن چك به حساب، واگذار به بانك، پاس كردن، نقد، وصول، برگشت، واخواست، عودت
4391,fa,وضعيت، ليست چكهاي دريافتي، پرداختي، فهرست چكهاي دريافتي، پرداختي، چك كجاست
4392,fa,فهرست پورسانت، ليست
4393,fa,حق العمل، كميسيون، درصد سهم، بازارياب، فروشنده
4394,fa,حق العمل محاسبه شده، كمسيون محاسبه شده، سهم محاسبه شده بازارياب
4395,fa,سهم بازارياب، كميسيون، حق العمل
4396,fa,فهرست فاكتور فروش، ليست 
4397,fa,برگ، صورتحساب، سياهه، كالا، ابطال
4398,fa,فهرست پيش فاكتورها، پرفورما، ليست
4399,fa,استعلام قيمت، پرفورما
4400,fa,فهرست برگشت از فروش، سياهه، كالاها، ليست
4401,fa,برگشت از فروش، سياهه
4402,fa,ريز حساب، فاكتورها، مشتريان، گزارش حساب، كميسيون، حق العمل، واسط
4403,fa,گزارش، كالاهاي پرفروش، كالاهاي فروش رفته، سود، اقلام، اسناد، بهاي تمام شده
4404,fa,فهرست تخفيف ها، اشانتيون، آفرها، هديه ها، ليست
4405,fa,آفر، اشانتيون، هديه
4406,fa,ليست، قيمت گذاري، قيمت پيش فرض، تعيين قيمت، في، كالا، فروش
4407,fa,فهرست اشانتيون، هديه ها، ليست
4408,fa,گروه محصول، اشانتيون، پكيج هديه
4409,fa,فهرست انواع فروش، مدل ها، ليست
4410,fa,انواع فروش، فروش رسمي، فروش غيررسمي، مدل هاي فروش، معين هاي سند فروش، نحوه فروش
4411,fa,فهرست فرمول ساخت، ليست
4412,fa,BOM، تركيب، مواد اوليه توليد، جايگزين
4413,fa,اتمام، بهاي تمام شده، قيمت گذاري رسيد توليد
4414,fa,مقدار مورد نياز مواد اوليه، كسري
