ReminderID,EntityRef,Type,Title,Title_En,Description,Description_En,DueDate
20,28,3,قسط پرداختني,,"قسط پرداختني 1 - وام بانك پارسيان 871292197199603
 2,822,428,000 ريال - 1405/04/14","قسط پرداختني 1 - وام بانك پارسيان 871292197199603
 2,822,428,000 ريال - 1405/04/14",2026-07-05 00:00:00
21,39,3,قسط پرداختني,,"قسط پرداختني 2 - وام بانك پارسيان 871292197148605
 2,313,395,000 ريال - 1405/04/14","قسط پرداختني 2 - وام بانك پارسيان 871292197148605
 2,313,395,000 ريال - 1405/04/14",2026-07-05 00:00:00
