warrantyID,Title,Title_En,Version,Creator,CreationDate,LastModifier,LastModificationDate
-6,سپرده نقدي(برداشت از حساب),سپرده نقدي(برداشت از حساب),1,1,2019-04-30 03:17:14.507000,1,2019-04-30 03:17:14.507000
-5,سپرده نقدي(بلوكه حساب),سپرده نقدي(بلوكه حساب),1,1,2019-04-30 03:17:14.507000,1,2019-04-30 03:17:14.507000
-4,سفته,سفته,1,1,2018-03-05 13:33:52.867000,1,2018-03-05 13:33:52.867000
-3,سند ملكي,سند ملكي,1,1,2018-03-05 13:33:52.867000,1,2018-03-05 13:33:52.867000
-2,چك تضمين,چك تضمين,1,1,2018-03-05 13:33:52.867000,1,2018-03-05 13:33:52.867000
-1,ضمانت نامه بانكي,ضمانت نامه بانكي,1,1,2018-03-05 13:33:52.867000,1,2018-03-05 13:33:52.867000
