MarketingDisketteCurrencyID,Code,Ttile,Version,Creator,CreationDate,LastModifier,LastModificationDate
57,410,وون كره جنوبي-KRW,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
58,414,دينار كويت-KWD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
59,417,صوم قرقيزستان-KGS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
60,418,كيپ لائوس-LAK,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
61,422,پوند لبنان-LBP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
62,426,لوتي  لسوتو-LSL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
63,430,دلار ليبريا-LRD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
64,434,دينار ليبي-LYD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
65,446,پاتاكا ماكائو-MOP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
66,454,كواچا مالاويا-MWK,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
67,458,رينگيت مالزي-MYR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
68,462,روفيا مالديو-MVR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
69,478,اوگوياي موريتاني-MRO,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
70,480,روپيه موريس-MUR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
71,484,پزو مكزيك-MXN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
72,496,توگريك مغولستان-MNT,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
73,498,لئو مولداوي-MDL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
74,504,درهم مراكش-MAD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
75,512,ريال عمان-OMR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
76,516,دلار ناميبيا-NAD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
77,524,روپيه نپال-NPR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
78,533,فلورين آروبا-AWG,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
79,548,واتوي  وانواتو-VUV,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
80,554,دلار نيوزيلند-NZD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
81,558,كوردوبا نيكاراگوئه-NIO,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
82,566,نايرا نيجريه-NGN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
83,578,كرون نروژ-NOK,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
84,586,روپيه پاكستان-PKR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
85,590,بالبوآ پاناما-PAB,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
86,598,كيناي پاپوآ گينه نو-PGK,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
