SchedulingItemId,SchedulingRef,DateTime
1,-1,2018-03-21 00:00:00
2,-1,2018-03-22 00:00:00
3,-1,2018-03-23 00:00:00
4,-1,2018-03-24 00:00:00
5,-1,2018-03-25 00:00:00
6,-1,2018-03-26 00:00:00
7,-1,2018-03-27 00:00:00
8,-1,2018-03-28 00:00:00
9,-1,2018-03-29 00:00:00
10,-1,2018-03-30 00:00:00
11,-1,2018-03-31 00:00:00
12,-1,2018-04-01 00:00:00
13,-1,2018-04-02 00:00:00
14,-1,2018-04-03 00:00:00
15,-1,2018-04-04 00:00:00
16,-1,2018-04-05 00:00:00
17,-1,2018-04-06 00:00:00
18,-1,2018-04-07 00:00:00
19,-1,2018-04-08 00:00:00
20,-1,2018-04-09 00:00:00
21,-1,2018-04-10 00:00:00
22,-1,2018-04-11 00:00:00
23,-1,2018-04-12 00:00:00
24,-1,2018-04-13 00:00:00
25,-1,2018-04-14 00:00:00
26,-1,2018-04-15 00:00:00
27,-1,2018-04-16 00:00:00
28,-1,2018-04-17 00:00:00
29,-1,2018-04-18 00:00:00
30,-1,2018-04-19 00:00:00
31,-1,2018-04-20 00:00:00
32,-1,2018-04-21 00:00:00
33,-1,2018-04-22 00:00:00
34,-1,2018-04-23 00:00:00
35,-1,2018-04-24 00:00:00
36,-1,2018-04-25 00:00:00
37,-1,2018-04-26 00:00:00
38,-1,2018-04-27 00:00:00
39,-1,2018-04-28 00:00:00
40,-1,2018-04-29 00:00:00
41,-1,2018-04-30 00:00:00
42,-1,2018-05-01 00:00:00
43,-1,2018-05-02 00:00:00
44,-1,2018-05-03 00:00:00
45,-1,2018-05-04 00:00:00
46,-1,2018-05-05 00:00:00
47,-1,2018-05-06 00:00:00
48,-1,2018-05-07 00:00:00
49,-1,2018-05-08 00:00:00
50,-1,2018-05-09 00:00:00
51,-1,2018-05-10 00:00:00
52,-1,2018-05-11 00:00:00
53,-1,2018-05-12 00:00:00
54,-1,2018-05-13 00:00:00
55,-1,2018-05-14 00:00:00
56,-1,2018-05-15 00:00:00
57,-1,2018-05-16 00:00:00
58,-1,2018-05-17 00:00:00
59,-1,2018-05-18 00:00:00
60,-1,2018-05-19 00:00:00
61,-1,2018-05-20 00:00:00
62,-1,2018-05-21 00:00:00
63,-1,2018-05-22 00:00:00
64,-1,2018-05-23 00:00:00
65,-1,2018-05-24 00:00:00
66,-1,2018-05-25 00:00:00
67,-1,2018-05-26 00:00:00
68,-1,2018-05-27 00:00:00
